sampleId,address,jurisdiction.city,jurisdiction.county,jurisdiction.state,expectedParcelIds,expectedStatus,authoritativeSources,recordAvailability,notes,portalUrl
wcad-001,"120 ZINNIA LN, HUTTO, TX 78634",Hutto,Williamson,TX,R663486,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-002,"2204 COLINAS VERDAS RD, LEANDER, TX 78641",Leander,Williamson,TX,R522576,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-003,"5917 SCENIC LAKE DR, GEORGETOWN, TX 78626",Georgetown,Williamson,TX,R540529,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-004,"105 MOUNTAIN LION RD, GEORGETOWN, TX 78628",Georgetown,Williamson,TX,R593906,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-005,"1345 RED STAG PL, ROUND ROCK, TX 78665",Round Rock,Williamson,TX,R470746,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-006,"231 BELLA LUNA WAY, LIBERTY HILL, TX 78642",Liberty Hill,Williamson,TX,R609457,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-007,"1401 LITTLE ELM TRL #409, CEDAR PARK, TX 78613",Cedar Park,Williamson,TX,R529748,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-008,"340 ACUFF LN, LEANDER, TX 78641",Leander,Williamson,TX,R615559,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-009,"165 GABRIEL MEADOWS DR, HUTTO, TX 78634",Hutto,Williamson,TX,R389521,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-010,"2713 BRUSHWOOD MDW, LEANDER, TX 78641",Leander,Williamson,TX,R592111,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
wcad-011,"2021 SAUTERNE DR, LEANDER, TX 78641",Leander,Williamson,TX,R607432,resolved,https://data.wcad.org/resource/an3x-cnmw,assessor_parcel:available,Extracted from Williamson CAD Parcels open dataset on 2026-03-03,https://data.wcad.org
