sampleId,address,portalUrl,expectedStatus,predictedStatus,expectedParcelIds,predictedParcelId,pass,statusPass,idPass,dataGapStatuses,blockedDatasetCount,relaxedDatasetCount,blockReasonSummary,topDataGapReasons,error
wcad-001,"120 ZINNIA LN, HUTTO, TX 78634",https://data.wcad.org,resolved,not_found,R663486,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 120 ZINNIA Ln, HUTTO, TX 78634. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
wcad-002,"2204 COLINAS VERDAS RD, LEANDER, TX 78641",https://data.wcad.org,resolved,not_found,R522576,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 2204 COLINAS VERDAS Rd, LEANDER, TX 78641. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
wcad-003,"5917 SCENIC LAKE DR, GEORGETOWN, TX 78626",https://data.wcad.org,resolved,not_found,R540529,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 5917 SCENIC LAKE Dr, GEORGETOWN, TX 78626. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
wcad-004,"105 MOUNTAIN LION RD, GEORGETOWN, TX 78628",https://data.wcad.org,resolved,not_found,R593906,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 105 MOUNTAIN LION Rd, GEORGETOWN, TX 78628. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
wcad-005,"1345 RED STAG PL, ROUND ROCK, TX 78665",https://data.wcad.org,resolved,not_found,R470746,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 1345 RED STAG Pl, ROUND ROCK, TX 78665. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
wcad-006,"231 BELLA LUNA WAY, LIBERTY HILL, TX 78642",https://data.wcad.org,resolved,not_found,R609457,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 231 BELLA LUNA Way, LIBERTY HILL, TX 78642. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
wcad-007,"1401 LITTLE ELM TRL #409, CEDAR PARK, TX 78613",https://data.wcad.org,resolved,not_found,R529748,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 1401 LITTLE ELM Trl Unit 409, CEDAR PARK, TX 78613. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
wcad-008,"340 ACUFF LN, LEANDER, TX 78641",https://data.wcad.org,resolved,not_found,R615559,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 340 ACUFF Ln, LEANDER, TX 78641. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
wcad-009,"165 GABRIEL MEADOWS DR, HUTTO, TX 78634",https://data.wcad.org,resolved,not_found,R389521,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 165 GABRIEL MEADOWS Dr, HUTTO, TX 78634. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
wcad-010,"2713 BRUSHWOOD MDW, LEANDER, TX 78641",https://data.wcad.org,resolved,not_found,R592111,,false,false,false,missing|restricted,0,0,,"Geocode lookup returned no valid point for the normalized address. Address: 2713 BRUSHWOOD MDW, LEANDER, TX 78641. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
