sampleId,address,portalUrl,expectedStatus,predictedStatus,expectedParcelIds,predictedParcelId,pass,statusPass,idPass,dataGapStatuses,blockedDatasetCount,relaxedDatasetCount,blockReasonSummary,topDataGapReasons,error
wcad-001,"120 ZINNIA LN, HUTTO, TX 78634",https://data.wcad.org,resolved,resolved,R663486,R663486,true,true,true,missing,0,1,,"Geocode lookup returned no valid point for the normalized address. Address: 120 ZINNIA Ln, HUTTO, TX 78634. | Geocoding returned no location point.",
wcad-002,"2204 COLINAS VERDAS RD, LEANDER, TX 78641",https://data.wcad.org,resolved,resolved,R522576,R522576,true,true,true,missing,0,1,,"Geocode lookup returned no valid point for the normalized address. Address: 2204 COLINAS VERDAS Rd, LEANDER, TX 78641. | Geocoding returned no location point.",
wcad-003,"5917 SCENIC LAKE DR, GEORGETOWN, TX 78626",https://data.wcad.org,resolved,resolved,R540529,R540529,true,true,true,,0,1,,,
wcad-004,"105 MOUNTAIN LION RD, GEORGETOWN, TX 78628",https://data.wcad.org,resolved,resolved,R593906,R593906,true,true,true,,0,1,,,
wcad-005,"1345 RED STAG PL, ROUND ROCK, TX 78665",https://data.wcad.org,resolved,resolved,R470746,R470746,true,true,true,,0,1,,,
wcad-006,"231 BELLA LUNA WAY, LIBERTY HILL, TX 78642",https://data.wcad.org,resolved,resolved,R609457,R609457,true,true,true,,0,1,,,
wcad-007,"1401 LITTLE ELM TRL #409, CEDAR PARK, TX 78613",https://data.wcad.org,resolved,ambiguous,R529748,,false,false,false,missing|ambiguous,0,1,,"Geocode lookup returned no valid point for the normalized address. Address: 1401 LITTLE ELM Trl Unit 409, CEDAR PARK, TX 78613. | Assessor lookup returned multiple candidate parcels and tie-break rules could not select one. Candidates: parcel:R529778, parcel:R529705, parcel:R529710, parcel:R529759, parcel:R529751, parcel:R529719, parcel:R529694, parcel:R529758, parcel:R529740, parcel:R529742, parcel:R529748, parcel:R529745, parcel:R529707, parcel:R529699, parcel:R529736, parcel:R529738, parcel:R529709, parcel:R529708, parcel:R529783, parcel:R529744, parcel:R529734, parcel:R529752, parcel:R529779, parcel:R529737, parcel:R529704.",
wcad-008,"340 ACUFF LN, LEANDER, TX 78641",https://data.wcad.org,resolved,resolved,R615559,R615559,true,true,true,,0,1,,,
wcad-009,"165 GABRIEL MEADOWS DR, HUTTO, TX 78634",https://data.wcad.org,resolved,resolved,R389521,R389521,true,true,true,missing,0,1,,"Geocode lookup returned no valid point for the normalized address. Address: 165 GABRIEL MEADOWS Dr, HUTTO, TX 78634. | Geocoding returned no location point.",
wcad-010,"2713 BRUSHWOOD MDW, LEANDER, TX 78641",https://data.wcad.org,resolved,resolved,R592111,R592111,true,true,true,,0,1,,,
wcad-011,"2021 SAUTERNE DR, LEANDER, TX 78641",https://data.wcad.org,resolved,resolved,R607432,R607432,true,true,true,,0,1,,,
wcad-012,"1904 MARYSOL TRL, CEDAR PARK, TX 78613",https://data.wcad.org,resolved,resolved,R372108,R372108,true,true,true,missing,0,1,,"Geocode lookup returned no valid point for the normalized address. Address: 1904 MARYSOL Trl, CEDAR PARK, TX 78613. | Geocoding returned no location point.",
cook-001,"501 N CLINTON ST P-436, CHICAGO, IL",https://datacatalog.cookcountyil.gov,resolved,ambiguous,17091121071434,,false,false,false,missing|ambiguous|unavailable,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,"Geocode lookup returned no valid point for the normalized address. Address: 501 N CLINTON ST P-436, CHICAGO, IL. | Assessor lookup returned multiple candidate parcels and tie-break rules could not select one. Candidates: parcel:17091121071434, parcel:17091121061434.",
cook-002,"123 W MAIN ST, BARRINGTON, IL",https://datacatalog.cookcountyil.gov,resolved,resolved,01011000120000,01011000120000,true,true,true,unavailable|missing,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,Dataset is not tabular; cannot query via SODA. | Dataset is not tabular; cannot query via SODA.,
cook-003,"758 N LARRABEE ST GU122, CHICAGO, IL",https://datacatalog.cookcountyil.gov,resolved,resolved,17091130121363,17091130121363,true,true,true,missing|unavailable,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,"Geocode lookup returned no valid point for the normalized address. Address: 758 N LARRABEE ST GU122, CHICAGO, IL. | Geocoding returned no location point.",
cook-004,"306 S OAK ST, PALATINE, IL",https://datacatalog.cookcountyil.gov,resolved,resolved,02233020330000,02233020330000,true,true,true,missing|unavailable,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,"Geocode lookup returned no valid point for the normalized address. Address: 306 S OAK St, PALATINE, IL. | Geocoding returned no location point.",
